,,cluster_1,cluster_2,cluster_3
,,sum,sum,sum
month,type,,,
1,0,15528.0,56520.0,122953.6
1,1,52429.0,116865.0,253910.6
1,3,158074.4,248688.0,542102.8
1,4,45969.6,175142.0,383655.4
2,0,12422.4,45216.0,100534.0
2,1,45268.6,108904.0,241964.6
2,3,135287.2,226080.0,502239.2
2,4,41309.0,159220.0,355080.4
3,0,12422.4,47481.6,98904.8
3,1,57220.8,133306.2,281978.2
3,3,172173.2,257750.4,544974.2
3,4,47663.6,180885.19999999998,388692.4
4,0,12422.4,48236.8,96981.6
4,1,47743.0,115753.6,234452.0
4,3,167227.0,265302.4,540064.6
4,4,48395.0,185671.2,382528.8
5,0,15890.2,53009.0,129134.2
5,1,82298.4,127451.0,311346.6
5,3,194828.4,222637.8,545207.4
5,4,54783.6,156328.19999999998,384384.4
6,0,12784.6,42407.2,103605.0
6,1,56184.6,101960.8,251575.6
6,2,113682.4,100425.6,247480.8
6,3,99057.2,132814.0,328471.8
6,4,57575.2,163772.4,405706.2
7,0,12164.4,42407.2,104728.2
7,1,64595.4,101960.8,253690.6
7,2,116948.2,104990.4,260430.8
7,3,105305.4,138851.0,345475.8
7,4,60524.0,171216.6,426457.2
8,0,14817.2,53009.0,130863.8
8,1,79259.0,127451.0,316142.2
8,2,106061.0,95860.8,237137.6
8,3,96974.4,126777.0,314697.0
8,4,54054.4,156328.19999999998,388610.0
9,0,11906.4,43811.6,104542.4
9,1,53883.0,105432.4,253554.4
9,2,110982.0,103672.8,249537.2
9,3,101663.2,137291.0,331134.0
9,4,56704.6,169457.19999999998,408856.0
10,0,14948.8,56520.0,127024.8
10,1,50788.2,116865.0,264123.2
10,3,183041.6,248688.0,566506.0
10,4,50361.799999999996,175142.0,399565.0
11,0,11924.8,45216.0,98855.8
11,1,60098.8,128169.0,280297.4
11,3,156723.0,237384.0,518463.0
11,4,43129.4,167181.0,366735.0
12,0,11924.8,44513.8,97428.8
12,1,48673.4,108387.2,235532.8
12,3,165923.6,259992.0,562132.2
12,4,46593.2,183103.0,398142.4
