,,電廠1,電廠4
,,sum,sum
month,type,,
1,0,36377.95,88411.8
1,1,26632.65,65749.8
1,3,149909.4,369956.8
1,4,2164.55,5913.1
2,0,25845.35,61421.05
2,1,24189.05,57698.4
2,3,156966.45,374693.75
2,4,2332.15,7366.9
3,0,22163.45,56333.7
3,1,56921.5,137539.8
3,3,213524.15,529222.25
3,4,6767.35,19087.6
4,0,47711.1,117623.1
4,1,47927.75,125433.2
4,3,206699.35,529472.35
4,4,11471.6,29271.600000000002
5,0,32177.3,87161.55
5,1,43003.6,116103.4
5,3,181301.7,462528.05
5,4,11139.300000000001,29498.600000000002
6,0,40448.8,123374.65000000001
6,1,39755.5,109899.55
6,2,128940.85,340404.35
6,3,80151.75,207953.9
6,4,18322.1,48529.6
7,0,43370.15,124427.25
7,1,46202.15,111374.0
7,2,121165.4,355868.65
7,3,70318.65,219879.15
7,4,16212.8,40218.0
8,0,39130.2,114677.9
8,1,36386.75,94936.95
8,2,113839.5,313779.15
8,3,67521.4,191826.25
8,4,13258.95,36335.7
9,0,38448.1,98576.95
9,1,44234.15,117188.25
9,2,141594.9,374619.0
9,3,82455.0,211494.65
9,4,14528.050000000001,35186.55
10,0,48561.799999999996,113377.15000000001
10,1,40114.1,109606.0
10,3,176862.35,444030.05
10,4,8598.15,22297.9
11,0,20679.1,75807.45
11,1,32529.3,97887.6
11,3,95914.9,366809.65
11,4,3246.2,13238.75
12,0,26803.4,69516.65000000001
12,1,24350.9,62746.0
12,3,161466.55,417764.9
12,4,3830.15,9781.3
