電號,11101-11102,11103-11104,11105-11106,11107-11108,11109-11110,11111-11112
00-58-2254-02-2,1534,2281,4623,7803,7336,3807
00-58-2254-10-2,28200,23120,25280,28320,30880,25920
00-58-2254-20-4,6422,6356,7098,8706,8549,6868
00-58-2254-30-6,2560,3195,4543,6199,6035,3525
00-58-2254-40-8,4089,3810,4154,4965,4837,4045
00-58-2254-50-1,3833,4024,5019,7252,7303,4730
00-58-2254-60-3,5849,5396,6909,6881,6576,5806
00-58-2254-70-5,4429,5035,5633,6640,6795,5726
00-58-2258-40-2,2667,2824,4214,5200,5256,3306
00-58-2368-40-5,1657,1862,2325,2834,2725,2184
10-39-3594-13-6,3840,3520,3440,4800,5880,4840
